,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,El Batey,19.7667,-70.5167,76.05,83,39,10.67,DO,1613271600
1,Lüderitz,-26.6481,15.1594,64.71,83,0,8.61,NA,1613271600
2,Tygda,53.1167,126.3333,-4.07,89,90,7.58,RU,1613271600
3,Cape Town,-33.9258,18.4232,67.32,91,57,7.7,ZA,1613271600
4,Bandarbeyla,9.4942,50.8122,72.46,77,27,10.92,SO,1613271600
5,Qaanaaq,77.484,-69.3632,8.62,77,0,5.68,GL,1613271600
6,Skeldon,5.8833,-57.1333,76.28,89,51,7.87,GY,1613271600
7,Tual,-5.6667,132.75,83.7,76,80,15.08,ID,1613271600
8,Novoagansk,61.9449,76.6625,-21.64,87,34,7.27,RU,1613271600
9,Zhigansk,66.7697,123.3711,-12.51,88,99,13.02,RU,1613271600
10,Mount Gambier,-37.8333,140.7667,66.85,57,71,9.55,AU,1613271600
11,Mataura,-46.1927,168.8643,64.24,60,100,1.43,NZ,1613271600
12,Ponta do Sol,32.6667,-17.1,59.16,73,10,1.43,PT,1613271600
13,Tura,25.5198,90.2201,74.55,38,11,2.21,IN,1613271600
14,Ahipara,-35.1667,173.1667,74.37,75,92,9.69,NZ,1613271600
15,Puerto Baquerizo Moreno,-0.9,-89.6,77.56,86,86,10.04,EC,1613271600
16,Griffith,41.5284,-87.4237,5.56,86,85,8.79,US,1613271600
17,New Norfolk,-42.7826,147.0587,79.03,35,0,1.39,AU,1613271600
18,Saint-Philippe,-21.3585,55.7679,77.47,75,30,8.88,RE,1613271600
19,Rockland,41.1668,-74.0496,24.06,77,100,4.81,US,1613271600
20,Butaritari,3.0707,172.7902,81.5,78,58,14.9,KI,1613271600
21,Dikson,73.5069,80.5464,-20.83,88,100,12.35,RU,1613271600
22,Atuona,-9.8,-139.0333,79.36,78,4,15.99,PF,1613271600
23,Nikolskoye,59.7035,30.7861,11.62,95,87,4.81,RU,1613271600
24,Tuatapere,-46.1333,167.6833,60.8,82,100,4.59,NZ,1613271600
25,Punta Arenas,-53.15,-70.9167,46.35,67,24,8.81,CL,1613271600
26,Bambous Virieux,-20.3428,57.7575,77.9,84,40,7.36,MU,1613271600
27,Jamestown,42.097,-79.2353,21.33,95,95,4.88,US,1613271600
28,Barrow,71.2906,-156.7887,-15.48,82,52,10.09,US,1613271600
29,Husavik,66.0449,-17.3389,35.78,79,92,19.19,IS,1613271600
30,Chui,-33.6971,-53.4616,69.82,93,53,7.25,UY,1613271600
31,Eyl,7.9803,49.8164,70.11,82,33,10.6,SO,1613271600
32,Busselton,-33.65,115.3333,82.94,59,1,3.67,AU,1613271600
33,Arraial do Cabo,-22.9661,-42.0278,75.9,90,100,17.49,BR,1613271600
34,Najrān,17.4924,44.1277,56.91,34,47,1.86,SA,1613271600
35,Nerchinsk,51.9833,116.5833,-10.07,83,0,3.24,RU,1613271600
36,Falmouth,50.1544,-5.0711,50.22,96,95,28.07,GB,1613271600
37,Lixouri,38.2019,20.4314,51.67,88,100,21.68,GR,1613271600
38,Westport,41.1415,-73.3579,27.61,69,95,10.31,US,1613271600
39,Ulverstone,-41.15,146.1667,67.35,68,7,7.58,AU,1613271600
40,Kapaa,22.0752,-159.319,76.73,69,30,9.48,US,1613271600
41,Xihe,31.6864,113.4659,62.62,65,29,9.26,CN,1613271600
42,Dolzhanskaya,46.6311,37.8039,18.91,56,87,22.73,RU,1613271600
43,Saint-Pierre,-21.3393,55.4781,78.49,71,0,8.41,RE,1613271600
44,Henties Bay,-22.116,14.2845,67.62,89,73,3.78,NA,1613271600
45,Örnsköldsvik,63.2909,18.7153,19.38,89,7,6.98,SE,1613271600
46,Makakilo City,21.3469,-158.0858,77.04,67,41,11.92,US,1613271600
47,Souillac,-20.5167,57.5167,77.41,84,35,7.36,MU,1613271600
48,Felipe Carrillo Puerto,19.5833,-88.05,72.72,93,9,2.15,MX,1613271600
49,Cervo,43.6702,-7.4101,56.73,79,95,9.82,ES,1613271600
50,Dawei,14.0833,98.2,83.1,53,87,2.04,MM,1613271600
51,Manggar,-2.8833,108.2667,84.06,75,100,11.59,ID,1613271600
52,Ushuaia,-54.8,-68.3,41.41,80,49,5.59,AR,1613271600
53,Rikitea,-23.1203,-134.9692,80.38,73,83,10.87,PF,1613271600
54,Clyde River,70.4692,-68.5914,-2.65,87,100,4.25,CA,1613271600
55,Cockburn Town,21.4612,-71.1419,77.5,77,22,24.49,TC,1613271600
56,Bredasdorp,-34.5322,20.0403,65.57,87,4,4.38,ZA,1613271600
57,Hilo,19.7297,-155.09,74.35,71,44,8.55,US,1613271600
58,Manakara,-22.1333,48.0167,74.98,88,100,3.27,MG,1613271600
59,Kaupanger,61.1845,7.2404,4.62,72,0,0.69,NO,1613271600
60,Litovko,49.2361,135.1742,18.7,89,18,12.59,RU,1613271600
61,Kumbo,6.2,10.6667,61.52,29,100,5.14,CM,1613271600
62,Puerto Ayora,-0.7393,-90.3518,78.3,87,67,6.76,EC,1613271600
63,Yong’an,39.6957,113.6871,38.59,70,34,9.73,CN,1613271600
64,Bluff,-46.6,168.3333,58.87,78,100,1.92,NZ,1613271600
65,Carnarvon,-24.8667,113.6333,83.91,76,31,7.72,AU,1613271600
66,Port Elizabeth,-33.918,25.5701,72.79,92,48,7.63,ZA,1613271600
67,Wilmington,34.2257,-77.9447,43.97,91,95,6.76,US,1613271600
68,Avarua,-21.2078,-159.775,84.38,67,24,7.43,CK,1613271600
69,Pangnirtung,66.1451,-65.7125,-22.7,80,87,2.48,CA,1613271600
70,Wagar,16.1525,36.2032,67.84,84,10,7.96,SD,1613271600
71,Hermanus,-34.4187,19.2345,66.58,87,0,5.97,ZA,1613271600
72,Bethel,41.3712,-73.414,25.18,66,95,6.11,US,1613271600
73,Pampas,-12.4,-74.9,51.85,81,75,0.45,PE,1613271600
74,Leningradskiy,69.3833,178.4167,-11.31,87,100,4.54,RU,1613271600
75,Klaksvík,62.2266,-6.589,39.78,83,95,42.39,FO,1613271600
76,Porto Santo,33.072,-16.3415,60.78,76,10,0.47,PT,1613271600
77,Norman Wells,65.282,-126.8329,-7.98,78,1,5.01,CA,1613271600
78,Emerald,-23.5333,148.1667,87.06,65,90,7.96,AU,1613271600
79,Albany,42.6001,-73.9662,16.23,69,95,2.71,US,1613271600
80,Cidreira,-30.1811,-50.2056,74.07,85,99,3.94,BR,1613271600
81,Estelle,29.8458,-90.1067,46.02,81,88,12.08,US,1613271600
82,Olafsvik,64.8945,-23.7142,39.47,73,100,23.58,IS,1613271600
83,Yulara,-25.2406,130.9889,84.92,44,95,16.28,AU,1613271600
84,Sundumbili,-29.1337,31.3975,75.47,91,49,2.51,ZA,1613271600
85,Emporia,38.4039,-96.1817,4.73,78,42,14.38,US,1613271600
86,Saint George,37.1041,-113.5841,50.47,58,56,9.69,US,1613271600
87,Plettenberg Bay,-34.0527,23.3716,71.04,93,90,7.4,ZA,1613271600
88,Manyana,-23.4,21.7167,68.67,71,42,7.54,BW,1613271600
89,Sarkand,45.41,79.9186,28.2,79,81,2.24,KZ,1613271600
90,Avera,33.194,-82.5271,43.29,96,95,6.87,US,1613271600
91,Bhainsdehi,21.6467,77.6325,72.45,25,0,4.36,IN,1613271600
92,Turukhansk,65.8167,87.9833,-32.67,77,0,6.46,RU,1613271600
93,Odesa,46.4775,30.7326,20.71,84,14,14.56,UA,1613271600
94,Huty,50.1332,35.3439,6.8,93,100,15.01,UA,1613271600
