,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leningradskiy,69.3833,178.4167,-11.25,86,100,4.07,RU,1613260800
1,St. George's,12.0564,-61.7485,78.48,77,18,15.68,GD,1613260800
2,Chokurdakh,70.6333,147.9167,-20.13,77,0,2.15,RU,1613260800
3,Mnogovershinnyy,53.9353,139.9242,9.59,96,100,2.42,RU,1613260800
4,Hermanus,-34.4187,19.2345,67.46,88,0,5.86,ZA,1613260800
5,Hobart,-42.8794,147.3294,67.41,58,10,0.67,AU,1613260800
6,San Patricio,28.017,-97.5169,36.05,85,95,11.59,US,1613260800
7,Ha Tinh,18.3333,105.9,61.02,88,1,2.75,VN,1613260800
8,Le Port,-20.9373,55.2919,77.99,76,39,7.36,RE,1613260800
9,Rikitea,-23.1203,-134.9692,80.4,74,55,9.84,PF,1613260800
10,Nanortalik,60.1432,-45.2371,34.21,87,100,1.99,GL,1613260800
11,Neuquén,-38.9516,-68.0591,87.24,27,44,4.45,AR,1613260800
12,Sitka,57.0531,-135.33,33.87,57,1,4.81,US,1613260800
13,Hilo,19.7297,-155.09,75.07,73,82,6.67,US,1613260800
14,Sexsmith,55.35,-118.786,-2.33,88,34,8.1,CA,1613260800
15,Ngunguru,-35.6167,174.5,68.9,88,88,14.03,NZ,1613260800
16,Abaeté,-19.16,-45.4458,71.08,89,100,3.06,BR,1613260800
17,Maragogi,-9.0122,-35.2225,78.85,81,25,9.8,BR,1613260800
18,Punta Arenas,-53.15,-70.9167,49.19,57,11,10.49,CL,1613260800
19,Saint-Pierre,-21.3393,55.4781,77.79,71,0,8.88,RE,1613260800
20,Ilulissat,69.2167,-51.1,9.88,87,95,11.16,GL,1613260800
21,Kapaa,22.0752,-159.319,77.02,68,50,9.95,US,1613260800
22,Busselton,-33.65,115.3333,70.81,73,0,9.46,AU,1613260800
23,Novozaimka,56.4857,66.9241,27.9,97,100,10.07,RU,1613260800
24,Ushuaia,-54.8,-68.3,42.62,83,87,3.06,AR,1613260800
25,Ponta do Sol,32.6667,-17.1,60.03,70,0,1.39,PT,1613260800
26,East London,-33.0153,27.9116,77.05,88,79,10.4,ZA,1613260800
27,Kouango,4.9934,19.9619,75.47,24,93,0.67,CF,1613260800
28,Sambava,-14.2667,50.1667,76.35,87,93,5.26,MG,1613260800
29,Port Alfred,-33.5906,26.891,74.91,93,97,8.77,ZA,1613260800
30,Bentiu,9.2333,29.8333,78.21,18,10,6.53,SS,1613260800
31,Richards Bay,-28.783,32.0377,75.81,95,100,2.91,ZA,1613260800
32,Atuona,-9.8,-139.0333,79.29,79,6,16.26,PF,1613260800
33,Kurisove,46.9695,30.9591,18.61,81,24,13.09,UA,1613260800
34,Bredasdorp,-34.5322,20.0403,67.33,87,14,4.12,ZA,1613260800
35,Torbay,47.6666,-52.7314,26.58,89,94,18.68,CA,1613260800
36,Shimoda,34.6667,138.95,58.12,68,70,5.97,JP,1613260800
37,Yanam,16.7333,82.2167,63.81,85,1,2.73,IN,1613260800
38,Armizonskoye,55.9461,67.6736,26.91,97,100,11.05,RU,1613260800
39,Isangel,-19.55,169.2667,86.25,73,22,2.77,VU,1613260800
40,Swan Hill,-35.3378,143.5544,69.93,56,0,9.86,AU,1613260800
