,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,newton stewart,GB,,,,,,,
1,georgetown,MY,,,,,,,
2,witu,KE,,,,,,,
3,victoria,HK,,,,,,,
4,saskylakh,RU,,,,,,,
5,chokurdakh,RU,,,,,,,
6,mataura,NZ,,,,,,,
7,albany,US,,,,,,,
8,taltal,CL,,,,,,,
9,mercedes,AR,,,,,,,
10,henties bay,NA,,,,,,,
11,olafsvik,IS,,,,,,,
12,pevek,RU,,,,,,,
13,punta arenas,CL,,,,,,,
14,bilma,NE,,,,,,,
15,umm kaddadah,SD,,,,,,,
16,kodiak,US,,,,,,,
17,brigham city,US,,,,,,,
18,soe,ID,,,,,,,
19,ngaoundere,CM,,,,,,,
20,meadow lake,US,,,,,,,
21,ushuaia,AR,,,,,,,
22,yumen,CN,,,,,,,
23,shelburne,CA,,,,,,,
24,avarua,CK,,,,,,,
25,bluff,NZ,,,,,,,
26,bereda,ES,,,,,,,
27,bilibino,RU,,,,,,,
28,cape town,ZA,,,,,,,
29,port lincoln,AU,,,,,,,
30,new norfolk,AU,,,,,,,
31,mys shmidta,,,,,,,,
32,klaksvik,FO,,,,,,,
33,nikolskoye,RU,,,,,,,
34,ginda,IN,,,,,,,
35,hobart,AU,,,,,,,
36,champagnole,FR,,,,,,,
37,jamestown,US,,,,,,,
38,barrow,US,,,,,,,
39,carnarvon,AU,,,,,,,
40,port elizabeth,ZA,,,,,,,
41,ahipara,NZ,,,,,,,
42,verkhnevilyuysk,RU,,,,,,,
43,san benito,US,,,,,,,
44,kapaa,US,,,,,,,
45,busselton,AU,,,,,,,
46,belushya guba,,,,,,,,
47,havre-saint-pierre,CA,,,,,,,
48,yerbogachen,RU,,,,,,,
49,lebu,CL,,,,,,,
50,muravlenko,RU,,,,,,,
51,akdepe,TM,,,,,,,
52,port blair,IN,,,,,,,
53,puerto ayora,EC,,,,,,,
54,kahului,US,,,,,,,
55,caravelas,BR,,,,,,,
56,rehoboth,NA,,,,,,,
57,airai,TL,,,,,,,
58,cockburn town,TC,,,,,,,
59,port alfred,ZA,,,,,,,
60,vaini,TO,,,,,,,
61,greencastle,US,,,,,,,
62,hermanus,ZA,,,,,,,
63,attawapiskat,,,,,,,,
64,imbituba,BR,,,,,,,
65,bredasdorp,ZA,,,,,,,
66,rikitea,PF,,,,,,,
67,upernavik,GL,,,,,,,
68,scranton,US,,,,,,,
69,castro,BR,,,,,,,
70,nara,JP,,,,,,,
71,necochea,AR,,,,,,,
72,mehamn,NO,,,,,,,
73,paamiut,GL,,,,,,,
74,tasiilaq,GL,,,,,,,
75,matagami,CA,,,,,,,
76,ribeira grande,PT,,,,,,,
77,gizo,SB,,,,,,,
78,dagestanskiye ogni,RU,,,,,,,
79,isangel,VU,,,,,,,
80,great falls,US,,,,,,,
81,faya,SA,,,,,,,
82,san jose,US,,,,,,,
83,kaitangata,NZ,,,,,,,
84,saint-felicien,CA,,,,,,,
85,uspenka,UA,,,,,,,
86,la argentina,CO,,,,,,,
87,illoqqortoormiut,,,,,,,,
88,kavaratti,IN,,,,,,,
89,gigmoto,PH,,,,,,,
90,ondorhaan,,,,,,,,
91,vardo,NO,,,,,,,
92,dikson,RU,,,,,,,
93,marawi,PH,,,,,,,
94,shingu,JP,,,,,,,
95,barentsburg,,,,,,,,
